FULL NAME,POS,Guard,MPG,Usage Rate,Turnover Rate,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,ORTG,DRTG
Solomon Hill,F,0,17,14.8,17.4,16,0.875,21,0.333,24,0.292,0.389,0.471,4.5,1.9,6.3,0.9,7.3,1.09,0.45,1,90.8,105.4
Jaylen Hoard,F,0,7.9,17.2,9.6,13,0.615,29,0.517,3,0,0.469,0.504,2.9,2.5,16.3,0.3,5.3,0.38,0,0.31,112,104.1
Rondae Hollis-Jefferson,F,0,18.7,17.2,12.9,143,0.734,306,0.497,23,0.13,0.476,0.533,7,4.7,13.4,1.8,13.6,0.77,0.38,0.97,113.7,97.5
Richaun Holmes,F,0,28.2,15.7,11.6,118,0.788,345,0.646,0,0,0.646,0.679,12.3,8.1,16.2,1,5.1,0.93,1.27,1.18,130.6,99.6
Serge Ibaka,F,0,27,24,13.1,124,0.718,488,0.559,182,0.385,0.564,0.583,15.4,8.2,16.1,1.4,8.6,0.51,0.84,1.98,107.6,96.4
Ersan Ilyasova,F,0,15.7,16.1,8.8,87,0.828,176,0.545,137,0.365,0.546,0.589,6.6,4.8,15.1,0.8,6.6,0.37,0.27,0.54,118.7,94.6
Brandon Ingram,F,0,33.9,28.1,13,368,0.851,712,0.501,384,0.391,0.531,0.587,23.8,6.1,9.5,4.2,19.3,0.98,0.6,3.03,111.4,106.8
Jonathan Isaac,F,0,28.8,18.3,11.8,77,0.779,238,0.521,94,0.34,0.518,0.552,11.9,6.8,12.7,1.4,7.4,1.56,2.29,1.44,106.8,101.5
Wes Iwundu,F,0,18.3,13.7,8.9,97,0.804,150,0.46,82,0.341,0.478,0.546,5.8,2.5,7.4,1.2,8.8,0.48,0.25,0.52,112.4,105.1
Justin Jackson,F,0,16.1,15.4,3.7,50,0.84,178,0.489,163,0.294,0.466,0.496,5.5,2.4,7.7,0.8,6.8,0.23,0.15,0.22,107.9,109.1
LeBron James,F,0,34.6,31.5,15.1,381,0.693,878,0.564,425,0.348,0.55,0.577,25.3,7.8,12.3,10.2,49.1,1.16,0.54,3.9,115.4,103.8
Amile Jefferson,F,0,4.1,13.4,13,14,0.357,14,0.357,0,0,0.357,0.372,0.8,1.3,16.6,0.2,7.2,0.06,0.17,0.17,93.9,103.2
Alize Johnson,F,0,6.9,15.1,17.3,10,0.7,21,0.429,8,0.375,0.466,0.509,2,2.9,22.8,0.4,7.7,0.18,0.12,0.41,108.2,97.1
BJ Johnson,F,0,8.3,22.2,14.2,10,0.9,23,0.261,9,0.333,0.328,0.412,3,1.5,9.8,0.3,5.1,0.3,0,0.6,81.3,108.8
Cameron Johnson,F,0,22,15.7,6.9,57,0.807,133,0.526,272,0.39,0.565,0.586,8.8,3.3,8.3,1.2,7.7,0.61,0.35,0.56,116.7,108.2
James Johnson,F,0,15.6,16.9,13.9,14,0.571,42,0.548,45,0.356,0.54,0.547,5.7,2.9,10.3,1.2,11.1,0.33,0.72,0.83,102.6,100
James Johnson,F,0,24.2,21.4,18.8,34,0.676,82,0.573,46,0.37,0.566,0.588,12,4.7,10.3,3.8,24.4,1.29,1.43,2.36,109.1,100.9
Derrick Jones Jr.,F,0,23.3,13.9,6.9,123,0.772,217,0.677,132,0.28,0.58,0.62,8.5,3.9,9.5,1.1,6.7,1,0.63,0.51,125.8,102.5
Michael Kidd-Gilchrist,F,0,13.3,17.6,10.9,9,0.778,36,0.361,17,0.294,0.387,0.421,4,2.9,12,0.8,9.5,0,0.25,0.58,91.5,104.6
Michael Kidd-Gilchrist,F,0,9.3,8.5,37.2,5,0.8,10,0.4,3,0,0.308,0.395,0.9,2.5,13.9,0.3,4,0.15,0.23,0.69,70.1,96.5
Stanton Kidd,F,0,3.8,14.3,40,0,0,2,0,1,0,0,0,0,0.8,10.8,0.3,7.9,0,0,0.5,,
Louis King,F,0,6.2,17.1,8.2,3,0,10,0.4,11,0.364,0.476,0.448,2,1,9.1,0.5,11.8,0.2,0,0.2,93.4,98.5
Maxi Kleber,F,0,25.5,13.9,9.5,93,0.849,195,0.605,319,0.373,0.577,0.605,9.1,5.3,10.8,1.2,6.3,0.34,1.14,0.78,121.8,105.5
Kevin Knox II,F,0,17.9,17.9,9.2,101,0.653,202,0.391,199,0.327,0.44,0.47,6.4,2.8,8.4,0.9,7.4,0.35,0.43,0.69,97.3,107.9
Rodions Kurucs,F,0,14.5,14.7,19.2,38,0.632,87,0.529,90,0.367,0.54,0.555,4.6,2.9,10.4,1.1,10.4,0.53,0.11,0.98,100.5,97.8
Kyle Kuzma,F,0,25,22.8,11,155,0.735,396,0.518,272,0.316,0.5,0.531,12.8,4.5,9.8,1.3,7.6,0.46,0.43,1.49,102.2,102.7
Vic Law,F,0,7.7,15.8,8.8,6,0.333,11,0.455,7,0.143,0.361,0.363,1.9,1.4,9.6,0.4,6.7,0.25,0,0.25,79.1,102.5
Jake Layman,F,0,22,17.7,11.1,32,0.75,107,0.533,72,0.333,0.52,0.544,9.1,2.5,5.9,0.7,4.4,0.74,0.39,1.04,102.2,108.3
TJ Leaf,F,0,7.9,20,7.9,16,0.438,68,0.456,18,0.278,0.448,0.451,3,2.5,17.3,0.3,5.7,0.36,0.14,0.29,97.9,98.3
Kawhi Leonard,F,0,32.4,33,10.2,402,0.886,808,0.506,325,0.378,0.524,0.589,27.1,7.1,11.3,4.9,26.5,1.81,0.58,2.61,117,101.9
Kevon Looney,F,0,13.1,15.9,13.4,12,0.75,65,0.431,14,0.071,0.373,0.403,3.4,3.3,13.7,1,11.1,0.6,0.3,0.65,93,102.5
Kevin Love,F,0,31.8,23.2,14.6,219,0.854,337,0.537,390,0.374,0.55,0.599,17.6,9.8,17.1,3.2,15.4,0.59,0.34,2.52,112.5,110.1
Trey Lyles,F,0,20.2,13.6,9.7,45,0.733,175,0.503,168,0.387,0.541,0.557,6.4,5.7,15.3,1.1,7.2,0.44,0.44,0.62,113.1,107
Caleb Martin,F,0,17.6,15,13.9,21,0.81,47,0.362,37,0.541,0.56,0.595,6.2,2.1,6.6,1.3,11.1,0.67,0.39,0.83,113.2,105.9
Cody Martin,F,0,18.8,13.6,15.7,65,0.646,130,0.546,77,0.234,0.473,0.505,5,3.3,9.6,2,15.8,0.81,0.19,0.92,104.7,105.9
Kelan Martin,F,0,16,17.9,9.3,31,0.968,85,0.541,96,0.26,0.461,0.506,6.4,3.1,10.2,0.7,6.8,0.23,0.29,0.65,100.7,106.1
Luc Mbah a Moute,F,0,8.2,11.6,14.5,2,0.5,3,0.667,2,0,0.4,0.425,1.7,0.7,4.3,0,0,0.67,0,0.33,82.3,114.2
Doug McDermott,F,0,19.9,19.6,6.8,58,0.828,253,0.549,294,0.435,0.605,0.62,10.3,2.5,6.9,1.1,8.4,0.17,0.09,0.61,117.3,105.3
Alfonzo McKinnie,F,0,14.8,15.2,12.3,31,0.71,106,0.557,65,0.215,0.468,0.493,4.6,2.8,10.6,0.4,3.3,0.58,0.2,0.65,98.5,104.8
Khris Middleton,F,0,29.9,26.3,11.5,227,0.916,593,0.546,354,0.415,0.575,0.619,20.9,6.2,10.2,4.3,22.2,0.85,0.11,2.19,118.1,97.8
Paul Millsap,F,0,24.3,20,12.3,141,0.816,314,0.5,124,0.435,0.543,0.591,11.6,5.7,13.2,1.6,9.6,0.86,0.59,1.37,115.8,100.9
Juwan Morgan,F,0,6.4,11,17.8,4,0.75,18,0.667,8,0.375,0.635,0.648,1.7,1.4,11.9,0.3,6.2,0.05,0.1,0.29,121,98.8
Marcus Morris Sr.,F,0,32.3,24.4,9.2,198,0.823,372,0.444,264,0.439,0.533,0.582,19.6,5.4,9,1.4,6.8,0.77,0.4,1.7,113.4,107.5
Marcus Morris Sr.,F,0,28.9,15.8,11.6,22,0.818,90,0.533,84,0.31,0.5,0.523,10.1,4.1,7.4,1.4,6.8,0.68,0.68,1.26,100.8,102.1
Markieff Morris,F,0,22.5,21.8,14.2,79,0.772,200,0.5,189,0.397,0.546,0.573,11,3.9,9.9,1.6,11,0.59,0.23,1.59,104.4,104.7
Markieff Morris,F,0,14.2,16.6,7.6,6,0.833,30,0.5,40,0.325,0.493,0.509,5.3,3.2,12.3,0.6,5.4,0.36,0.43,0.43,108.5,95.6
Johnathan Motley,F,0,3.2,23.5,21.7,7,0.714,14,0.714,1,1,0.767,0.774,2.2,0.8,12.6,0.5,28.7,0.23,0,0.38,,
Abdel Nader,F,0,15.8,17,12.8,66,0.773,135,0.556,128,0.375,0.559,0.591,6.3,1.8,6.4,0.7,6.4,0.42,0.36,0.78,107.4,103.8
Georges Niang,F,0,14,17.2,8.3,24,0.833,97,0.526,225,0.4,0.578,0.589,5.9,1.9,7.6,0.7,6.9,0.27,0.08,0.45,113,105.1
Semi Ojeleye,F,0,14.6,9.7,8.3,32,0.875,69,0.464,127,0.378,0.531,0.562,3.4,2.1,7.7,0.5,4.7,0.3,0.07,0.28,115.8,104.4
Royce O'Neale,F,0,28.9,9.6,13.5,55,0.764,121,0.545,244,0.377,0.559,0.578,6.3,5.5,10.4,2.5,11.6,0.83,0.45,0.86,116.5,101.1
Cedi Osman,F,0,29.4,16.6,12.3,94,0.67,288,0.497,321,0.383,0.538,0.552,11,3.6,6.7,2.4,11.6,0.83,0.25,1.4,107.7,110.3
Tariq Owens,F,0,5.1,16.2,0,2,1,3,0.333,2,0,0.2,0.34,1.3,1,10.8,0,0,0.33,0,0,95.2,107.5
Jabari Parker,F,0,26.2,24,12.4,72,0.736,278,0.601,115,0.27,0.543,0.565,15,6,12.3,1.8,11.5,1.31,0.47,1.88,106.3,105.7
Jabari Parker,F,0,13.4,23.7,9.1,9,0.889,32,0.625,4,0.25,0.597,0.638,8.5,3.8,16.1,1.7,21.3,0.5,0.17,0.67,128.7,106.1
Chandler Parsons,F,0,10.8,16.1,14.3,0,0,4,0.25,14,0.286,0.389,0.389,2.8,1.4,7,0.6,7.4,0.8,0.2,0.6,77.1,111.9
Eric Paschall,F,0,27.6,21.4,11.3,212,0.774,512,0.549,129,0.287,0.525,0.57,14,4.6,9,2.1,12.7,0.53,0.22,1.57,110,110.8
Patrick Patterson,F,0,13.2,14.7,7.7,43,0.814,61,0.459,172,0.39,0.552,0.58,4.9,2.6,10.1,0.7,7.2,0.12,0.05,0.36,118.9,104.9
Norvel Pelle,F,0,9.7,13.4,24.9,14,0.5,47,0.532,1,0,0.521,0.526,2.4,3,17.2,0.3,4.6,0.13,1.25,0.75,93.2,86.1
Michael Porter Jr.,F,0,16.4,22.3,10.6,72,0.833,236,0.564,147,0.422,0.59,0.617,9.3,4.7,16.1,0.8,7.8,0.49,0.45,0.89,117,100.7
Otto Porter Jr.,F,0,23.6,21,6.8,27,0.704,78,0.487,62,0.387,0.529,0.55,11.9,3.4,8,1.8,11.9,1.07,0.43,0.79,112.6,105
Bobby Portis,F,0,21.1,21.4,10.4,93,0.763,402,0.493,187,0.358,0.507,0.53,10.1,5.1,12.9,1.5,11.1,0.5,0.27,1.11,106.6,107.6
Taurean Prince,F,0,29,20.4,14,89,0.798,308,0.429,431,0.339,0.475,0.497,12.1,6,10.6,1.8,9.2,0.89,0.39,1.98,93.5,102.7
Glenn Robinson III,F,0,31.6,16.6,8.7,74,0.851,336,0.524,170,0.4,0.549,0.575,12.9,4.7,8,1.8,8.8,0.94,0.29,1.06,112.4,112.8
Glenn Robinson III,F,0,19.3,15.2,5.2,12,0.917,58,0.603,27,0.333,0.571,0.598,7.7,3.1,9,0.8,5.9,0.71,0.14,0.36,123.1,106.4
Duncan Robinson,F,0,29.7,16,8.8,72,0.931,81,0.654,606,0.446,0.667,0.684,13.5,3.2,6,1.4,7.1,0.48,0.26,0.95,122.2,105.3
Isaiah Roby,F,0,3.8,7.7,50,0,0,1,0,0,0,0,0,0,0.7,9.7,0,0,0,0,0.33,,
Luka Samanic,F,0,16.1,17.6,10.1,4,0.75,8,0.25,8,0.375,0.406,0.45,5.3,3.3,11.1,2,16.2,0,0.67,0.67,98.3,104.4
JaKarr Sampson,F,0,13.8,13.2,10.6,27,0.667,102,0.647,13,0.154,0.6,0.615,4.6,2.6,10.2,0.6,6.1,0.47,0.35,0.44,117.6,96.9
Dario Saric,F,0,24.7,17.8,12.9,128,0.844,303,0.568,235,0.357,0.554,0.592,10.7,6.2,13.8,1.9,10.8,0.56,0.24,1.33,113.9,103.9
Mike Scott,F,0,17.8,14,6.6,37,0.811,133,0.519,217,0.369,0.54,0.557,6,3.7,11.4,0.8,6.4,0.32,0.07,0.38,116.2,105.2
Pascal Siakam,F,0,35.2,28.1,10.7,303,0.792,739,0.499,365,0.359,0.512,0.554,22.9,7.3,11,3.5,16.4,1.02,0.88,2.47,107.1,99.9
Chris Silva,F,0,7.9,17.2,24.4,55,0.673,75,0.64,3,0,0.615,0.651,3,2.9,20.3,0.5,9.9,0.18,0.48,0.75,119.6,85.1
Ben Simmons,F,0,35.4,20.9,20.4,298,0.621,641,0.582,7,0.286,0.58,0.601,16.4,7.8,12.2,8,33.8,2.11,0.58,3.51,115.2,100.7
Alen Smailagic,F,0,9.9,18.3,18.5,19,0.842,27,0.63,13,0.231,0.538,0.61,4.2,1.9,10.5,0.9,14.3,0.21,0.29,0.79,112.3,107.7
Omari Spellman,F,0,18.1,18.7,13.6,92,0.793,185,0.454,110,0.391,0.503,0.551,7.6,4.4,13.3,1,8.1,0.67,0.49,1.08,106.9,109
Caleb Swanigan,F,0,3.3,20.7,55.1,2,0.5,4,0.5,0,0,0.5,0.512,0.7,1,17.3,0.3,11.6,0.14,0.29,0.86,,
Caleb Swanigan,F,0,13.3,12.9,38.5,15,0.533,41,0.634,2,0,0.605,0.605,3,4.7,18.4,1.5,14.1,0.1,0.25,1.55,98.2,94.3
Daniel Theis,F,0,24.1,14.4,10.2,114,0.763,330,0.633,96,0.333,0.603,0.631,9.2,6.5,14.5,1.7,10.1,0.57,1.29,0.83,129.3,95.5
Lance Thomas,F,0,14,13.2,19.5,4,1,10,0.4,13,0.308,0.435,0.485,3.4,1.9,6.9,0.9,8.2,0,0,0.86,90.4,103.5
Anthony Tolliver,F,0,16.8,11.2,14.3,19,0.684,28,0.464,89,0.337,0.496,0.515,3.9,3.3,10.4,0.9,6.6,0.24,0.27,0.64,105.7,109
Anthony Tolliver,F,0,9.1,11.6,18.3,2,0.5,2,0.5,15,0.133,0.235,0.252,1,1.2,7.6,0.3,4.6,0.44,0.11,0.44,57,107.8
Anthony Tolliver,F,0,18.2,10.7,14.9,8,0.875,7,0.286,41,0.415,0.573,0.602,4.8,2.5,7.4,0.8,5.3,0.54,0.08,0.69,109.4,109.4
Juan Toscano-Anderson,F,0,20.9,12.7,19.7,5,0.6,40,0.525,23,0.348,0.524,0.529,5.3,4,10.4,2,13.8,1,0.38,1.23,98.5,104.2
P.J. Tucker,F,0,34.3,8.7,13.9,48,0.813,127,0.551,299,0.358,0.541,0.559,6.9,6.6,10.1,1.6,6,1.08,0.53,1,113.5,104.3
Jarrod Uthoff,F,0,3.5,23.8,0,2,1,3,0.333,4,0,0.143,0.254,1,0.3,3.8,0,0,0.25,0,0,,
Jarrod Uthoff,F,0,13.1,11.6,0,0,0,6,0.5,5,0.6,0.682,0.682,5,1.7,6.9,0,0,0,0,0,134.4,119.7
Jarred Vanderbilt,F,0,4.6,14.7,50,0,0,7,0.714,0,0,0.714,0.714,1.1,0.9,10.8,0.2,6.5,0.33,0.11,0.78,76.3,96.9
Jarred Vanderbilt,F,0,2.6,15.2,0,2,1,0,0,1,0,0,0.532,1,0.5,10.3,0,0,0,0,0,,
Noah Vonleh,F,0,12,13.8,15.5,28,0.821,72,0.625,14,0.143,0.558,0.605,4.1,4,17.6,0.9,10.8,0.38,0.21,0.62,120.1,103.4
Noah Vonleh,F,0,4.3,14,20.5,4,0.5,5,0.8,1,1,0.917,0.838,1.9,1.1,14.8,0.3,9.4,0,0,0.29,135.1,101.7
T.J. Warren,F,0,32.9,23.4,7.3,204,0.819,771,0.575,226,0.403,0.581,0.61,19.8,4.2,6.9,1.5,7.1,1.16,0.51,1.28,115.9,104.1
P.J. Washington,F,0,30.3,18.6,12.5,135,0.652,359,0.507,230,0.374,0.528,0.548,12.2,5.4,9.8,2.1,11.3,0.9,0.78,1.6,104.9,105.9
Andrew Wiggins,F,0,34.7,27.9,10.7,207,0.72,515,0.505,275,0.331,0.502,0.535,22.4,5.2,7.9,3.7,18.1,0.69,0.86,2.52,104.6,110.6
Andrew Wiggins,F,0,33.6,25.4,10.4,61,0.672,129,0.512,59,0.339,0.511,0.542,19.4,4.6,7.4,3.6,18.2,1.33,1.33,2.08,106.2,111.4
Grant Williams,F,0,15.1,11.6,17.6,54,0.722,115,0.548,96,0.25,0.469,0.505,3.4,2.6,9.1,1,8.4,0.43,0.52,0.72,102.9,95.4
Johnathan Williams,F,0,12,10.3,11.2,13,0.538,32,0.594,2,0,0.559,0.566,3,4.3,19.4,0.5,5.9,0.07,0.53,0.33,125.3,109.1
Marvin Williams,F,0,19.7,14,9.7,50,0.86,93,0.538,117,0.376,0.552,0.593,6.7,2.7,7.5,1,7.8,0.61,0.56,0.61,115.6,106.9
Marvin Williams,F,0,18.9,8.7,11.8,7,0.857,18,0.722,39,0.308,0.544,0.566,4,4.4,11.4,1.1,7.2,0.59,0.47,0.47,118.3,95.2
Zion Williamson,F,0,27.8,30.5,11.9,178,0.64,346,0.59,14,0.429,0.592,0.616,22.5,6.3,11.9,2.1,13.2,0.67,0.38,2.46,114.6,110.2
Christian Wood,F,0,21.4,23,12,243,0.745,368,0.636,140,0.386,0.62,0.659,13.1,6.3,16.7,1,7.6,0.55,0.89,1.35,122.6,106.3
Thaddeus Young,F,0,24.9,19.7,13.9,72,0.583,379,0.501,223,0.354,0.512,0.52,10.3,4.9,10.9,1.8,11.3,1.44,0.36,1.59,100.7,104.4
LaMarcus Aldridge,F-C,0,33.1,23.4,7.8,191,0.827,637,0.518,157,0.389,0.531,0.57,18.9,7.4,12,2.4,11.4,0.68,1.64,1.4,114.7,109.1
Kyle Alexander,F-C,0,6.7,9.9,33.3,0,0,2,0.5,0,0,0.5,0.5,1,1.5,12.5,0,0,0,0,0.5,96,108.8
Chris Boucher,F-C,0,13.2,19.8,7.4,116,0.784,181,0.569,118,0.322,0.535,0.587,6.6,4.5,17.9,0.4,4.8,0.37,1,0.45,123.1,92.4
Nicolas Claxton,F-C,0,12.5,14.8,13.6,21,0.524,41,0.634,7,0.143,0.573,0.577,4.4,2.9,12.2,1.1,12.5,0.07,0.53,0.6,117.4,106.5
Zach Collins,F-C,0,26.4,12.5,16.4,8,0.75,49,0.51,19,0.368,0.522,0.538,7,6.3,12.5,1.5,7.2,0.45,0.45,1.27,109.8,105.8
Anthony Davis,F-C,0,34.4,29.3,10.4,525,0.846,878,0.546,218,0.33,0.536,0.61,26.1,9.3,14.8,3.2,15.1,1.47,2.31,2.48,120.3,100.6
Cheick Diallo,F-C,0,10.2,17,16.7,39,0.872,139,0.655,3,0.333,0.651,0.688,4.7,2.8,15.2,0.5,6.9,0.23,0.26,0.68,119,101.2
Henry Ellenson,F-C,0,3,19.4,0,0,0,3,0.333,4,0,0.143,0.143,0.4,1.2,20.6,0.2,8.7,0,0,0,,
Drew Eubanks,F-C,0,12.4,15.8,21.1,26,0.769,66,0.636,1,1,0.649,0.682,4.9,3.9,16.8,0.7,7.7,0.23,0.77,0.95,119.5,101.3
Cristiano Felicio,F-C,0,17.5,9.1,21.9,23,0.783,52,0.654,2,0,0.63,0.671,3.9,4.6,14.6,0.7,5.7,0.45,0.09,0.82,128.5,106.4
Bruno Fernando,F-C,0,12.7,15.3,15.9,51,0.569,162,0.605,37,0.135,0.53,0.542,4.3,3.5,15,0.9,9.9,0.32,0.3,0.75,107,102.4
Daniel Gafford,F-C,0,14.2,13.3,15.3,60,0.533,134,0.701,0,0,0.701,0.686,5.1,2.5,9.6,0.5,5.2,0.3,1.3,0.67,123.7,99.2
Harry Giles III,F-C,0,14.5,20.6,13.9,49,0.776,249,0.558,2,0,0.554,0.58,6.9,4.1,15.9,1.3,14.2,0.48,0.39,0.96,111.1,94
JaMychal Green,F-C,0,20.7,13.7,12.6,48,0.75,114,0.518,238,0.387,0.56,0.576,6.8,6.2,15.4,0.8,5,0.46,0.38,0.86,111.6,94.9
Montrezl Harrell,F-C,0,27.8,25.7,10,351,0.658,795,0.592,18,0,0.579,0.606,18.6,7.1,13.2,1.7,10.4,0.63,1.11,1.71,118.5,102.2
John Henson,F-C,0,14.2,16.2,13.5,33,0.515,89,0.618,31,0.194,0.533,0.539,5,3.9,15.4,1.5,15.3,0.55,1.1,0.72,111.5,101.5
John Henson,F-C,0,17.1,16.6,20.9,13,0.462,46,0.696,5,0.4,0.686,0.67,6.9,4.4,14.5,1,9.2,0.73,0.91,1.36,111.5,101
Jaren Jackson Jr.,F-C,0,28.5,24,10.6,186,0.747,385,0.54,368,0.394,0.565,0.593,17.4,4.6,8.5,1.4,7.2,0.68,1.61,1.74,109.3,100.2
Mfiondu Kabengele,F-C,0,5.4,23.5,5.5,5,1,12,0.417,20,0.45,0.578,0.614,3.5,0.9,8.9,0.2,4.8,0.17,0.17,0.17,118.7,96
Frank Kaminsky,F-C,0,19.9,21,9.6,90,0.678,183,0.53,124,0.331,0.516,0.545,9.7,4.5,12.6,1.9,14.3,0.38,0.26,0.95,109.5,104.2
Skal Labissiere,F-C,0,17.2,14.3,15.7,33,0.758,134,0.582,13,0.231,0.561,0.588,5.8,5.1,15.6,1.3,10.1,0.21,0.94,0.91,120,101.4
Thon Maker,F-C,0,12.9,16.1,15.7,110,0.664,129,0.55,64,0.344,0.539,0.582,4.7,2.8,12.2,0.7,8,0.42,0.65,0.75,111.3,101.6
Lauri Markkanen,F-C,0,29.8,21.1,11,153,0.824,274,0.518,317,0.344,0.517,0.56,14.7,6.3,11.6,1.5,7.6,0.84,0.48,1.62,107.9,107.5
Jalen McDaniels,F-C,0,18.3,13.4,13.4,17,0.824,46,0.522,24,0.375,0.536,0.574,5.6,4.1,12.1,0.8,6.7,0.5,0.19,0.75,110.9,101.7
Chimezie Metu,F-C,0,5.9,23.7,17.3,13,0.769,40,0.6,2,0,0.571,0.608,3.2,1.8,16.9,0.6,14.8,0.17,0.33,0.56,113,108.4
Mike Muscala,F-C,0,12.2,16.6,7.9,22,0.818,46,0.5,143,0.378,0.55,0.569,4.8,2.3,10.4,0.9,10.1,0.19,0.26,0.36,114,101.5
Larry Nance Jr.,F-C,0,26.3,15.2,11.5,74,0.676,272,0.636,159,0.352,0.596,0.608,10.1,7.3,15.4,2.2,12.3,0.98,0.39,1.07,121.9,109.4
Joakim Noah,F-C,0,10,14.6,34.2,8,0.75,8,0.5,0,0,0.5,0.608,2.8,3.2,16.5,1.4,17.9,0.2,0.2,1.2,106,90.6
Mason Plumlee,F-C,0,17.3,18,18.5,155,0.535,283,0.625,5,0,0.615,0.613,7.2,5.2,16.7,2.5,20.9,0.52,0.61,1.33,117.4,98.1
Kristaps Porzingis,F-C,0,31.8,27,8,283,0.799,529,0.484,403,0.352,0.503,0.551,20.4,9.5,15.6,1.8,8.8,0.72,2.02,1.61,110.7,101.4
Dwight Powell,F-C,0,26.5,12.7,11.8,111,0.667,190,0.716,39,0.256,0.659,0.677,9.4,5.7,11.3,1.5,7.7,0.88,0.53,0.93,132.3,104.1
Domantas Sabonis,F-C,0,34.8,23.3,14.9,296,0.723,780,0.565,67,0.254,0.551,0.587,18.5,12.4,19.6,5,21.7,0.73,0.48,2.76,115,99.1
Dean Wade,F-C,0,6,9.8,18.2,1,0,9,0.778,4,0.5,0.769,0.744,1.7,1.6,14.8,0.2,4,0.17,0.33,0.25,121.8,104
Moritz Wagner,F-C,0,18.6,18.6,17.7,95,0.821,186,0.645,80,0.313,0.592,0.638,8.7,4.9,14.3,1.2,9.7,0.62,0.42,1.47,113.7,98.4
D.J. Wilson,F-C,0,9.8,18.1,12,18,0.611,59,0.576,73,0.247,0.462,0.475,3.6,2.5,12.5,0.7,9.1,0.08,0.14,0.51,94.1,96.7
Tyler Zeller,F-C,0,2,44.3,0,0,0,4,0.25,0,0,0.25,0.25,1,2,55.3,0,0,0,0,0,,
Justin Anderson,F-G,0,10.7,17.1,9.1,4,0.5,9,0.444,29,0.207,0.342,0.352,2.8,2.1,10.1,0.8,10.1,0,0.6,0.4,77.7,100.4
Kyle Anderson,F-G,0,19.8,13.5,15.3,78,0.667,246,0.541,85,0.282,0.511,0.534,5.8,4.3,11.3,2.4,15.9,0.78,0.55,0.99,108.9,104.6
RJ Barrett,F-G,0,30.4,24,12.9,254,0.614,530,0.432,197,0.32,0.445,0.479,14.3,5,8.8,2.6,12.8,0.95,0.3,2.21,94.9,109.3
Darius Bazley,F-G,0,18.5,15.2,11.6,62,0.694,176,0.432,141,0.348,0.472,0.497,5.6,4,12,0.7,5.1,0.38,0.67,0.74,96.2,105.9
Brian Bowen II,F-G,0,5.2,15.5,9.1,0,0,8,0.375,2,0,0.3,0.3,1,1.2,12.3,0,0,0,0.17,0.17,62,101.9
Oshae Brissett,F-G,0,7.1,15,14.8,10,0.8,21,0.476,15,0.2,0.403,0.458,1.9,1.4,10.2,0.4,7,0.21,0.05,0.37,95.7,95.8
Jaylen Brown,F-G,0,33.9,24.7,11.2,243,0.724,549,0.543,338,0.382,0.554,0.583,20.3,6.4,10.1,2.1,9.7,1.16,0.35,2.19,110.2,101.6
Brandon Clarke,F-G,0,22.4,18.6,9.5,112,0.759,413,0.661,64,0.359,0.645,0.665,12.1,5.9,13.9,1.4,9.5,0.57,0.83,0.95,126.6,105.5
Rudy Gay,F-G,0,21.8,22,11.8,136,0.882,376,0.511,220,0.336,0.508,0.553,10.8,5.4,13.4,1.7,11.3,0.52,0.49,1.31,106.7,108.2
Maurice Harkless,F-G,0,22.8,10.3,16.3,42,0.571,144,0.59,73,0.37,0.578,0.584,5.5,4,9.1,1,5.5,0.96,0.6,0.92,108.8,99.6
Maurice Harkless,F-G,0,23.8,12.4,8.4,24,0.625,41,0.561,25,0.28,0.508,0.536,6.8,3.3,7.5,1.7,9.7,0.75,0.25,0.58,113.5,107
Mario Hezonja,F-G,0,16.4,13.9,14.7,59,0.814,140,0.486,78,0.308,0.477,0.525,4.8,3.5,11.1,0.9,7.5,0.68,0.17,0.79,103.3,103.8
Justin Holiday,F-G,0,25,13.4,7.7,67,0.791,154,0.481,331,0.405,0.567,0.586,8.3,3.3,7.1,1.3,6.7,1.19,0.63,0.59,113.8,103.9
Danuel House Jr.,F-G,0,30.4,13.7,8.5,90,0.811,184,0.549,355,0.363,0.546,0.572,10.5,4.2,7.3,1.3,6.1,1.06,0.54,0.86,114.1,107.6
William Howard,F-G,0,6.7,15.6,20,0,0,0,0,4,0,0,0,0,1,7.9,0.5,8.9,0,0,0.5,13.8,107.8
De'Andre Hunter,F-G,0,32,17.5,12.1,144,0.764,379,0.454,304,0.355,0.489,0.521,12.3,4.5,7.6,1.8,7.9,0.7,0.29,1.63,99.6,110.9
Chandler Hutchison,F-G,0,18.8,19.1,11.4,78,0.59,137,0.496,38,0.316,0.491,0.521,7.8,3.9,11.3,0.9,7.4,0.96,0.25,0.96,101.2,103.3
Joe Ingles,F-G,0,29.7,15,19.2,94,0.787,200,0.525,353,0.399,0.572,0.595,9.8,3.9,7.2,5.2,24.3,0.9,0.15,1.96,115.2,105.5
Keldon Johnson,F-G,0,17.7,17.4,10.7,44,0.795,67,0.597,22,0.591,0.669,0.711,9.1,3.4,10.2,0.9,7.2,0.82,0.12,0.76,130.9,105.5
Stanley Johnson,F-G,0,6,23.1,18.5,16,0.563,35,0.429,24,0.292,0.432,0.454,2.4,1.5,13,0.8,19.4,0.24,0.16,0.6,89.7,95.6
