FULL NAME,POS,Guard,MPG,Usage Rate,Turnover Rate,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,ORTG,DRTG
Kelly Olynyk,C,0,19.4,17.4,13.8,100,0.86,164,0.543,234,0.406,0.582,0.621,8.2,4.6,13.1,1.7,13.3,0.67,0.34,1.06,116.1,96.6
Anzejs Pasecniks,C,0,16.8,15.8,14.5,58,0.586,113,0.54,3,0,0.526,0.551,6,4.1,13.4,0.7,5.7,0.35,0.46,0.92,108.4,101.5
Justin Patton,C,0,4.8,21.8,16.7,0,0,6,0.5,4,0.25,0.45,0.45,1.8,1,11.4,0.4,12.5,0,0,0.4,85.6,95.6
Jakob Poeltl,C,0,17.7,13.1,14.9,86,0.465,266,0.624,0,0,0.624,0.612,5.6,5.7,17.2,1.8,13.7,0.56,1.45,0.8,125.5,103.5
Jonas Valanciunas,C,0,26.4,21.6,13.3,200,0.74,650,0.615,91,0.352,0.605,0.63,14.9,11.3,22.6,1.9,10.9,0.44,1.1,1.81,119.1,100.1
Nikola Vucevic,C,0,32.2,25.8,7.4,167,0.784,744,0.531,289,0.339,0.525,0.549,19.6,10.8,18,3.6,19.5,0.87,0.76,1.42,113.4,103
Hassan Whiteside,C,0,30,19.6,12.9,239,0.686,695,0.622,7,0.571,0.624,0.644,15.5,13.5,23.6,1.2,5.9,0.39,2.93,1.79,124.4,103.5
Cody Zeller,C,0,23.1,20.8,11.8,179,0.682,405,0.575,75,0.24,0.542,0.574,11.1,7.1,16.8,1.5,11.3,0.69,0.43,1.29,115.2,103
Ante Zizic,C,0,10,17.5,11.1,19,0.737,72,0.569,0,0,0.569,0.597,4.4,3,16.4,0.3,4.2,0.32,0.23,0.45,115,102.9
Ivica Zubac,C,0,18.4,16.4,11.7,166,0.747,385,0.613,2,0,0.61,0.648,8.3,7.6,21.3,1.1,9.1,0.22,0.92,0.85,132.1,95.4
Bam Adebayo,C-F,0,33.6,21.2,17.5,382,0.691,777,0.564,14,0.143,0.558,0.597,15.9,10.2,17,5.1,24.2,1.14,1.29,2.82,116.2,102.2
Aron Baynes,C-F,0,22.2,21.2,10.8,75,0.747,214,0.579,168,0.351,0.556,0.58,11.5,5.7,14.3,1.6,10.9,0.21,0.55,1.19,112.8,99
Goga Bitadze,C-F,0,8.7,17.8,14.1,33,0.727,108,0.574,42,0.19,0.493,0.523,3.2,1.9,12.1,0.4,6.7,0.19,0.69,0.5,99.1,96.6
Bol Bol,C-F,0,14.5,21.2,23.6,10,0.8,19,0.526,9,0.444,0.571,0.617,6.7,3.2,12.3,1,9.8,0.33,1,1.67,101.6,100.8
Tony Bradley,C-F,0,11.4,15.8,12.5,46,0.652,186,0.661,3,1,0.675,0.681,4.9,4.6,22.2,0.4,5.4,0.24,0.57,0.52,134.7,91.9
Thomas Bryant,C-F,0,24.9,18.9,10.2,115,0.739,327,0.63,91,0.407,0.626,0.649,13.2,7.2,15.8,1.8,11.1,0.54,1.07,1.15,126,108.6
Wendell Carter Jr.,C-F,0,29.2,16.4,14.9,152,0.737,314,0.564,29,0.207,0.542,0.59,11.3,9.4,17.7,1.2,6,0.77,0.84,1.67,114.9,99.1
Joel Embiid,C-F,0,29.5,33,13.8,436,0.807,630,0.516,172,0.331,0.512,0.59,23,11.6,21.7,3,16.9,0.86,1.29,3.12,113,96.8
Isaiah Hartenstein,C-F,0,11.6,14.8,16.8,28,0.679,62,0.71,5,0,0.657,0.674,4.7,3.9,17.7,0.8,10,0.39,0.52,0.7,127.6,95.5
Jaxson Hayes,C-F,0,16.9,15,13.4,190,0.647,256,0.676,4,0.25,0.671,0.687,7.4,4.1,12.8,0.9,7.2,0.41,0.88,0.83,129.3,100.4
Dewan Hernandez,C-F,0,4.7,29.1,15.6,5,0.6,12,0.333,2,0.5,0.393,0.432,2.3,2.3,26.2,0.5,16.2,0.17,0,0.5,94.4,80.6
Willy Hernangomez,C-F,0,12.1,22.9,15.4,59,0.627,117,0.59,22,0.227,0.55,0.576,6.1,4.4,19.6,0.9,13.5,0.32,0.23,0.97,109.8,103.7
Al Horford,C-F,0,30.2,17.5,9.7,80,0.763,426,0.516,283,0.35,0.52,0.536,11.9,6.8,12.4,4,19.2,0.81,0.91,1.19,114.6,105
Dwight Howard,C-F,0,18.9,14.7,18.6,214,0.514,272,0.732,5,0.6,0.735,0.696,7.5,7.3,21.2,0.7,4.8,0.46,1.14,1.23,123.5,90
Luke Kornet,C-F,0,15.5,16.3,6.6,28,0.714,79,0.646,108,0.287,0.521,0.539,6,2.3,8.3,0.9,8.5,0.31,0.72,0.39,111.8,106
JaVale McGee,C-F,0,16.6,14.8,13.9,82,0.646,300,0.64,6,0.5,0.642,0.652,6.6,5.8,18.9,0.5,4.6,0.53,1.37,0.81,123,93.2
Nerlens Noel,C-F,0,18.5,14.9,17.3,106,0.755,266,0.688,3,0.333,0.686,0.711,7.4,4.9,14.7,0.9,7.6,0.97,1.49,1.08,127.4,93.7
Jahlil Okafor,C-F,0,15.6,19.9,16.7,62,0.645,159,0.629,3,0.333,0.627,0.642,8.1,4.2,14.4,1.2,12,0.23,0.73,1.27,116.6,101.1
Kyle O'Quinn,C-F,0,10.8,15.7,17.6,20,0.55,58,0.603,27,0.259,0.535,0.544,3.5,4,20.5,1.8,22.7,0.24,0.83,0.69,116,97.7
Vincent Poirier,C-F,0,5.9,15.4,17,7,0.857,34,0.471,2,0.5,0.486,0.525,1.9,2,17.7,0.4,8.5,0.09,0.41,0.36,106.2,88.7
Julius Randle,C-F,0,32.5,27.6,14.3,352,0.733,774,0.516,231,0.277,0.493,0.538,19.5,9.7,16,3.1,15.8,0.8,0.34,3.03,104.4,105.7
Naz Reid,C-F,0,16.5,24,7.6,53,0.698,146,0.466,97,0.33,0.477,0.505,9,4.1,13.2,1.2,11.2,0.63,0.73,0.73,104.8,97.6
Mitchell Robinson,C-F,0,23.2,13.3,8.3,148,0.568,341,0.742,0,0,0.742,0.726,9.7,7,16.2,0.6,3.9,0.85,1.95,0.61,141.7,100.3
Tristan Thompson,C-F,0,30.2,18.3,14,161,0.615,538,0.519,23,0.391,0.521,0.541,12,10.1,18.6,2.1,10.5,0.56,0.88,1.81,111.1,109.5
Karl-Anthony Towns,C-F,0,33.9,28.8,13.2,226,0.796,345,0.586,277,0.412,0.6,0.642,26.5,10.8,16.8,4.4,22.8,0.94,1.2,3.14,120.7,104
Myles Turner,C-F,0,29.4,17.9,11.4,169,0.751,337,0.54,250,0.344,0.53,0.566,12.1,6.6,12.3,1.2,5.4,0.74,2.13,1.37,107.7,101.5
Robert Williams III,C-F,0,13.4,13.5,16.3,34,0.647,88,0.727,0,0,0.727,0.728,5.2,4.4,17.7,0.9,10.1,0.79,1.21,0.69,134.4,92.8
Al-Farouq Aminu,F,0,21.1,13.2,14.7,29,0.655,50,0.32,36,0.25,0.343,0.395,4.3,4.9,12.5,1.2,7.4,1,0.44,0.94,88.2,103.7
Ryan Anderson,F,0,7,23.7,12.5,0,0,2,0.5,5,0.2,0.357,0.357,2.5,3.5,26.2,1,20.4,0.5,0,0.5,77.5,94.4
Giannis Antetokounmpo,F,0,30.4,37.5,13.2,629,0.633,945,0.631,293,0.304,0.589,0.613,29.5,13.6,22.1,5.6,34.2,0.98,1.05,3.65,116.1,90.2
Kostas Antetokounmpo,F,0,4,10.2,20.5,2,0.5,3,1,0,0,1,0.902,1.4,0.6,8.2,0.4,13.6,0,0,0.2,151,104.6
Thanasis Antetokounmpo,F,0,6.4,21.6,17.8,17,0.412,38,0.632,10,0,0.5,0.496,2.8,1.2,9.2,0.8,16.4,0.35,0.1,0.6,97.9,91.9
Carmelo Anthony,F,0,32.8,21.2,10.5,161,0.845,556,0.448,226,0.385,0.485,0.525,15.4,6.3,10.2,1.5,6.4,0.84,0.47,1.72,103.2,109
OG Anunoby,F,0,29.9,14.3,11.5,102,0.706,338,0.583,228,0.39,0.584,0.6,10.6,5.3,9.3,1.6,7.5,1.41,0.65,1.14,114.1,100
Trevor Ariza,F,0,24.7,11.2,13.7,27,0.778,43,0.488,122,0.352,0.518,0.543,6,4.6,10.4,1.6,8.3,1.09,0.25,0.88,107.5,106.2
Trevor Ariza,F,0,33.4,12.6,13.5,47,0.872,74,0.595,85,0.4,0.597,0.643,11,4.8,7.5,2,7.6,1.62,0.38,1.33,120.9,111.1
Marvin Bagley III,F,0,25.7,25.8,9.1,31,0.806,145,0.51,22,0.182,0.479,0.512,14.2,7.5,16.3,0.8,4.9,0.46,0.92,1.38,102,101
Harrison Barnes,F,0,34.5,17.4,8.8,267,0.801,524,0.502,268,0.381,0.525,0.575,14.5,4.9,8,2.2,9.3,0.6,0.17,1.22,115.7,114
Keita Bates-Diop,F,0,17.5,15.8,5.6,65,0.708,112,0.5,94,0.33,0.498,0.535,6.8,3,9,0.8,6.7,0.46,0.54,0.38,111.6,111.1
Keita Bates-Diop,F,0,14,15.7,8.5,10,0.8,19,0.526,9,0.333,0.518,0.571,5.3,2.4,9.7,0,0,0.29,0.57,0.43,110.9,108.1
Jordan Bell,F,0,8.7,15.9,19.8,29,0.586,51,0.588,9,0.222,0.55,0.57,3.1,2.9,17.7,0.5,8.6,0.07,0.37,0.67,108,108.4
Jordan Bell,F,0,10.7,21.2,27.6,2,1,4,0.25,3,0.667,0.571,0.635,5,1.5,7.4,1,12.6,0.5,0,1.5,102.8,106.7
Dragan Bender,F,0,13,12.4,18.3,3,0.667,12,0.5,9,0.444,0.571,0.582,3.7,2.9,10.9,1.3,12.6,0,0.71,0.71,104.8,88.3
Dragan Bender,F,0,21.6,20.1,17.4,11,0.727,37,0.541,34,0.324,0.514,0.534,9,5.9,14.7,2.1,15.3,0.44,0.44,1.78,100.9,102.4
Davis Bertans,F,0,29.3,19,8.2,122,0.852,138,0.471,472,0.424,0.598,0.628,15.4,4.5,8.5,1.7,8.4,0.69,0.61,1.09,119.8,110.7
Nemanja Bjelica,F,0,27.9,17,12.4,84,0.821,333,0.541,321,0.417,0.583,0.601,11.5,6.3,12.8,2.8,14.7,0.85,0.56,1.36,118.3,103.5
Bojan Bogdanovic,F,0,33.1,25.5,13.1,277,0.903,478,0.479,457,0.414,0.548,0.603,20.2,4.1,6.8,2.1,10,0.54,0.11,2.54,110.5,108.8
Jonah Bolden,F,0,3.6,17.7,34,2,0,2,1,1,0,0.667,0.515,1,0.3,3.9,0,0,0.25,0,0.5,,
Jonah Bolden,F,0,10.9,11.5,0,2,1,5,0.4,3,0,0.25,0.338,2,2.7,13.5,0,0,0.67,0.67,0,93.3,92.8
Jarrell Brantley,F,0,10.7,16.3,19.5,2,0.5,15,0.467,13,0.231,0.411,0.416,2.7,2.2,11.5,1.2,15.8,0.33,0.56,0.78,84.9,103.4
Ignas Brazdeikis,F,0,5.9,20.9,7.6,5,0.8,13,0.385,9,0.111,0.295,0.351,1.9,0.6,5,0.4,10.5,0,0.11,0.22,82.3,115.2
Miles Bridges,F,0,30.7,20,10.4,131,0.809,453,0.486,300,0.33,0.489,0.52,13,5.6,9.9,1.8,9.4,0.62,0.74,1.45,103.3,109.4
Mikal Bridges,F,0,28,12.7,12,122,0.844,290,0.61,194,0.361,0.583,0.62,9.1,4,7.9,1.8,8.6,1.44,0.63,1,118.6,105.6
Jimmy Butler,F,0,33.8,25.1,11.4,525,0.834,640,0.494,119,0.244,0.474,0.584,19.9,6.6,11,6,28.1,1.78,0.55,2.19,122.5,107.2
Bruno Caboclo,F,0,8.7,16.8,9.1,3,0.667,44,0.545,25,0.16,0.435,0.441,2.8,2,12.1,0.5,7.1,0.45,0.55,0.32,96.6,100.6
Bruno Caboclo,F,0,6.5,22.7,20.9,6,1,12,0.667,8,0.25,0.55,0.618,3.5,2,16,0.3,5.9,0.63,0.63,0.75,108.1,93.2
Devontae Cacok,F,0,8.9,28.4,0,0,0,6,0.5,0,0,0.5,0.5,6,5,30.7,1,20.7,0,0,0,120.3,107.6
Vlatko Cancar,F,0,3.2,18.9,15.2,4,1,9,0.556,6,0.167,0.433,0.507,1.2,0.7,12.3,0.2,9,0.07,0.07,0.21,,
DeMarre Carroll,F,0,9,15.3,20.9,20,0.6,16,0.375,13,0.231,0.362,0.437,2.2,2.1,12.4,0.7,10.1,0.13,0.13,0.67,88.2,101.1
DeMarre Carroll,F,0,17.2,14.4,13,22,0.773,17,0.647,20,0.25,0.5,0.578,6,2.7,8.1,1.6,12.2,0.67,0.33,0.78,117.2,106.2
Wilson Chandler,F,0,21,12.9,15,23,0.87,62,0.597,121,0.306,0.505,0.531,5.9,4.2,10.3,1.1,7.3,0.46,0.34,0.97,99,100.7
Zylan Cheatham,F,0,12.8,10.4,30.8,0,0,8,0.75,1,0,0.667,0.667,3,2.3,9.3,0.8,7.7,0.25,0.25,1,101.8,96.7
Marquese Chriss,F,0,20.3,19,14.6,156,0.769,347,0.582,39,0.205,0.554,0.603,9.3,6.2,16.6,1.9,15.3,0.66,1.05,1.32,116.6,104.5
Gary Clark,F,0,11.8,12.5,3.1,7,0.857,8,0.625,51,0.353,0.542,0.564,3.9,2.2,9.9,0.7,7.7,0.11,0.39,0.11,125.4,105.1
Gary Clark,F,0,14.8,10.1,9.6,3,1,14,0.714,60,0.35,0.561,0.571,3.6,2.9,10.6,0.2,1.9,0.17,0.63,0.33,115.4,107.2
John Collins,F,0,33.2,22.7,10.1,150,0.8,458,0.642,147,0.401,0.632,0.659,21.6,10.1,16.4,1.5,7.6,0.76,1.61,1.83,123.5,106.6
Tyler Cook,F,0,3.2,16.7,7.3,6,0.833,10,0.7,0,0,0.7,0.752,1.7,0.9,15.9,0.1,4.5,0.09,0,0.09,,
Tyler Cook,F,0,9.6,11.1,41,2,1,2,0.5,0,0,0.5,0.694,2,2,11.7,0,0,1,0,1,97.8,106
Robert Covington,F,0,29.4,17.8,12,94,0.798,184,0.587,312,0.346,0.544,0.572,12.8,6,10.7,1.2,5.9,1.67,0.94,1.52,105.9,103.2
Robert Covington,F,0,33,15.4,11.1,30,0.8,59,0.61,168,0.315,0.509,0.531,11.6,8,12.7,1.5,6.1,1.5,2.23,1.36,104.4,101.2
Torrey Craig,F,0,18.5,12.6,8.1,36,0.611,131,0.603,138,0.326,0.545,0.553,5.4,3.3,9.9,0.8,5.9,0.4,0.62,0.43,115,102.3
Jae Crowder,F,0,29.4,15.6,10.9,95,0.789,133,0.519,266,0.293,0.466,0.507,9.9,6.2,11,2.8,12.2,1.04,0.31,1.2,105.2,106.7
Jae Crowder,F,0,27.7,15.3,7.8,30,0.733,36,0.611,128,0.445,0.655,0.669,11.9,5.4,10.8,1.8,9.7,1.25,0.5,0.75,126.7,99.8
Troy Daniels,F,0,12.7,17.7,9.7,0,0,8,0.5,20,0.3,0.464,0.464,4.3,1,4.4,0.5,5.4,0.5,0,0.5,88.6,106.3
Ed Davis,F,0,10.8,9.4,20,14,0.5,46,0.478,0,0,0.478,0.489,1.8,3.8,19,0.4,5.2,0.39,0.32,0.46,109,88.2
DeMar DeRozan,F,0,34.1,26.3,11.6,450,0.844,1014,0.54,35,0.257,0.535,0.603,22.1,5.5,8.8,5.6,26,1.03,0.29,2.41,118.3,108.6
Sekou Doumbouya,F,0,19.8,16.9,12,46,0.674,138,0.464,98,0.286,0.449,0.474,6.4,3.1,8.9,0.5,3.7,0.53,0.21,0.92,90.7,105.2
Jared Dudley,F,0,8.1,8,11.6,2,1,18,0.333,42,0.429,0.55,0.558,1.5,1.2,7.8,0.6,9.5,0.33,0.07,0.18,116.8,98.6
James Ennis III,F,0,15.8,15.7,10.6,61,0.787,120,0.525,106,0.349,0.524,0.564,5.8,3.1,10.7,0.8,7.3,0.45,0.31,0.61,113.7,101.7
James Ennis III,F,0,24.5,15.6,15.3,37,0.838,70,0.6,63,0.286,0.519,0.566,8.5,4.8,10.4,1.1,6.5,0.6,0.4,1.35,105.2,101.9
Derrick Favors,F,0,24.4,14,13,71,0.563,331,0.628,7,0.143,0.62,0.622,9,9.8,21.3,1.6,9.2,0.59,0.9,1.08,124.5,103.9
